ld,paper,origin_chamber,snum,title,committee,final_disposition,governor_action,chaptered_law,chapter,became_law,last_house_action,last_senate_action,sponsor_count,action_count,roll_call_count,amendment_count,ps_url,lawmaker_summary_url
11,SP0024,Senate,132,An Act Regarding Temperature Standards for School Buildings,Education and Cultural Affairs,"Enacted, Jun 15, 2025","Unsigned, Jun 15, 2025","ACTPUB, Chapter 308",308,True,5/29/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/2/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0024,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0024&SessionID=16
12,SP0025,Senate,132,An Act to Amend the Freedom of Access Act to Apply to Legislative Caucuses,Judiciary,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 8, 2025",,,,False,None,4/8/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0025,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0025&SessionID=16
13,SP0026,Senate,132,An Act to Provide Funds Necessary for the Production and Delivery of Election Materials by the Secretary of State,Veterans and Legal Affairs,"Died On Adjournment, Apr 29, 2026",,,,False,6/9/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),6,8,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0026,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0026&SessionID=16
14,SP0027,Senate,132,An Act to Provide Indigenous Peoples Free Access to State Parks,"Agriculture, Conservation and Forestry","Enacted, Apr 15, 2026","Signed, Apr 15, 2026","ACTPUB, Chapter 707",707,True,5/20/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"4/13/2026 - On motion by Senator ROTUNDO of Androscoggin taken from the Special Appropriations Table. Subsequently, PASSED TO BE ENACTED in concurrence.",6,8,1,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0027,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0027&SessionID=16
15,SP0062,Senate,132,An Act to Modify the Excise Tax on Camper Trailers,Taxation,"Enacted, Jan 11, 2026","Unsigned, Jan 11, 2026","ACTPUB, Chapter 523",523,True,6/16/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,7/8/2025 - HELD BY THE GOVERNOR.,3,7,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0062,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0062&SessionID=16
16,SP0063,Senate,132,An Act to Establish Separate Prosecutorial Districts in Downeast Maine,Judiciary,"Died Between Houses, May 29, 2025",,,,False,5/29/2025 - The House INSISTED on ACCEPTANCE of the Majority Ought Not to Pass Report Motion of Representative FAULKINGHAM or Winter Harbor to RECONSIDER FAILED . ROLL CALL NO. 226 (Yeas 68 - Nays 73 - Absent 10 - Excused 0) ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD ),"5/28/2025 - Taken from the table by the President Senator PIERCE of Cumberland moved to INSIST on ACCEPTANCE of the Minority Ought to Pass As Amended by Committee Amendment ""A"" (S-81) Report and PASSAGE TO BE ENGROSSED as Amended by Committee Amendment ""A"" (S-81) Motion by Senator HARRINGTON of York that the Senate INSIST and ASK for a COMMITTEE OF CONFERENCE. FAILED. Roll Call Ordered Roll Call Number 253 Yeas 14 - Nays 19 - Excused 2 - Absent 0 Subsequently, the Senate INSISTED to ACCEPTANCE of the Minority Ought to Pass As Amended by Committee Amendment ""A"" (S-81) Report and PASSAGE TO BE ENGROSSED as Amended by Committee Amendment ""A"" (S-81) in NON-CONCURRENCE. Sent down for concurrence",7,8,5,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0063,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0063&SessionID=16
17,SP0028,Senate,132,An Act to Designate the Warden of the Maine State Prison as Chief Administrative Officer of the Bolduc Correctional Facility,Criminal Justice and Public Safety,"Enacted, Mar 21, 2025","Signed, Mar 21, 2025","ACTPUB, Chapter 4",4,True,3/11/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"3/18/2025 - PASSED TO BE ENACTED , in concurrence.",1,5,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0028,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0028&SessionID=16
18,SP0030,Senate,132,An Act to Offset the Costs of Client Medical Care Support Workers at Department of Corrections Facilities and Study Correctional Service Fees and Collections,Criminal Justice and Public Safety,"Died On Adjournment, Apr 29, 2026",,,,False,6/9/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),1,8,0,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0030,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0030&SessionID=16
19,SP0032,Senate,132,An Act Related to Oversized All-terrain Vehicles,Inland Fisheries and Wildlife,"Died On Adjournment, Apr 29, 2026",,,,False,4/7/2026 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),2,8,2,3,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0032,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0032&SessionID=16
20,SP0033,Senate,132,An Act Regarding the First Judicial District and the District Court Locations in the Judicial Divisions of Androscoggin and Western Aroostook,Judiciary,"Enacted, Jul 1, 2025","Signed, Jul 1, 2025","ACTPUB, Chapter 436",436,True,5/27/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,6/25/2025 - On motion by Senator ROTUNDO of Androscoggin taken from the Special Appropriations Table PASSED TO BE ENACTED in concurrence.,1,7,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0033,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0033&SessionID=16
21,SP0034,Senate,132,An Act to Update the Provision of Law Concerning Student Codes of Conduct in Order to Reflect Best Practices Regarding Behavioral Threat Assessment and Response,Education and Cultural Affairs,"Enacted, May 29, 2025","Signed, May 29, 2025","ACTPUB, Chapter 125",125,True,5/27/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/27/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,2,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0034,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0034&SessionID=16
22,SP0035,Senate,132,An Act to Update the Laws Governing Education in the Unorganized Territory,Education and Cultural Affairs,"Enacted, Jul 1, 2025","Signed, Jul 1, 2025","ACTPUB, Chapter 437",437,True,5/27/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,6/25/2025 - On motion by Senator ROTUNDO of Androscoggin taken from the Special Appropriations Table PASSED TO BE ENACTED in concurrence.,1,7,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0035,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0035&SessionID=16
23,SP0037,Senate,132,An Act to Extend the Period of Time a Dentist May Operate the Practice of a Deceased or Incapacitated Dentist,"Health Coverage, Insurance and Financial Services","Emergency Enacted, May 29, 2025","Emergency Signed, May 29, 2025","ACTPUB, Chapter 121",121,True,"5/27/2025 - This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.","5/27/2025 - PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",2,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0037,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0037&SessionID=16
24,SP0039,Senate,132,"Resolve, Authorizing the Director of the Bureau of Parks and Lands to Convey Public Land Parcels in Lincoln Plantation and Sandy River Plantation","Agriculture, Conservation and Forestry","Finally Passed, May 2, 2025","Signed, May 2, 2025","RESLV, Chapter 22",22,True,"4/24/2025 - In accordance with Section 23 of Article IX of the Constitution, a two-thirds vote of all the members elected to the House was necessary. FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.","4/29/2025 - FINALLY PASSED - 2/3 Elected Required, in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0039,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0039&SessionID=16
25,SP0040,Senate,132,An Act to Authorize a General Fund Bond Issue to Fund Wastewater Treatment Facility Planning and Construction of Infrastructure Projects,Appropriations and Financial Affairs,"Died On Adjournment, Apr 29, 2026",,,,False,None,4/29/2026 - Died in Possession of the Committee Upon Conclusion of the 132nd Legislature and PLACED IN THE LEGISLATIVE FILES ( DEAD ).,1,4,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0040,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0040&SessionID=16
26,SP0041,Senate,132,An Act to Add an Inflation Adjustment to the Maximum Amount of Funding Disbursed from the Maine Ground and Surface Waters Clean-up and Response Fund for Certain Personal Services of the Department of Environmental Protection,Environment and Natural Resources,"Enacted, May 23, 2025","Signed, May 23, 2025","ACTPUB, Chapter 94",94,True,5/20/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/21/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0041,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0041&SessionID=16
27,SP0042,Senate,132,An Act to Amend and Simplify Certain Inland Fisheries and Wildlife Licensing and Permitting Laws,Inland Fisheries and Wildlife,"Enacted, May 29, 2025","Signed, May 29, 2025","ACTPUB, Chapter 126",126,True,5/27/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/27/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0042,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0042&SessionID=16
28,SP0045,Senate,132,"Resolve, to Rename the Twin Rivers Fire Academy in Fairfield the Duane Bickford Fire Training Facility",Criminal Justice and Public Safety,"Finally Passed, May 16, 2025","Signed, May 16, 2025","RESLV, Chapter 28",28,True,5/7/2025 - FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/13/2025 - FINALLY PASSED , in concurrence.",2,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0045,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0045&SessionID=16
29,SP0046,Senate,132,"Resolve, to Require the Department of Transportation to Implement the Recommendations of the Lower Road Rail Use Advisory Council and the Calais Branch Rail Use Advisory Council",Transportation,"Finally Passed, Jun 20, 2025","Signed, Jun 20, 2025","RESLV, Chapter 95",95,True,5/28/2025 - FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/18/2025 - On motion by Senator NANGLE of Cumberland, TAKEN FROM THE SPECIAL HIGHWAY TABLE . Subsequently, FINALLY PASSED in concurrence.",2,13,2,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0046,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0046&SessionID=16
30,SP0047,Senate,132,"Resolve, to Direct the Department of Transportation to Implement the Recommendations of the Portland to Auburn Rail Use Advisory Council",Transportation,"Finally Passed, Jun 20, 2025","Signed, Jun 20, 2025","RESLV, Chapter 96",96,True,5/28/2025 - FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/18/2025 - On motion by Senator NANGLE of Cumberland, TAKEN FROM THE SPECIAL HIGHWAY TABLE . Subsequently, FINALLY PASSED in concurrence.",1,13,2,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0047,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0047&SessionID=16
31,SP0048,Senate,132,An Act Regarding School Enrollment for Military-connected Students,Education and Cultural Affairs,"Enacted, May 16, 2025","Signed, May 16, 2025","ACTPUB, Chapter 78",78,True,5/13/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/14/2025 - PASSED TO BE ENACTED , in concurrence.",4,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0048,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0048&SessionID=16
32,SP0049,Senate,132,An Act Regarding the Interconnection Ombudsman Position at the Public Utilities Commission,"Energy, Utilities and Technology","Enacted, Apr 13, 2026","Signed, Apr 13, 2026","ACTPUB, Chapter 680",680,True,4/2/2026 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"4/6/2026 - PASSED TO BE ENACTED , in concurrence.",6,7,2,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0049,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0049&SessionID=16
33,SP0051,Senate,132,An Act to Amend the Laws Governing Fantasy Contests,Veterans and Legal Affairs,"Enacted, May 23, 2025","Signed, May 23, 2025","ACTPUB, Chapter 95",95,True,5/20/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/21/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0051,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0051&SessionID=16
34,SP0053,Senate,132,An Act to Increase the Minimum Salary for Teachers,Education and Cultural Affairs,"Died On Adjournment, Apr 29, 2026",,,,False,6/3/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),10,8,1,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0053,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0053&SessionID=16
35,SP0056,Senate,132,An Act to Strengthen Local Emergency Medical Services by Increasing the MaineCare Reimbursement Rate for Ambulance Services,Health and Human Services,"Ought Not to Pass Pursuant To Joint Rule 310, Jan 7, 2026",,,,False,6/17/2025 - On motion of Representative MEYER of Eliot the Bill and accompanying papers were COMMITTED to the Committee on HEALTH AND HUMAN SERVICES . In concurrence. ORDERED SENT FORTHWITH.,1/7/2026 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0056,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0056&SessionID=16
36,SP0058,Senate,132,An Act to Clarify Processes of the Board of Environmental Protection,Environment and Natural Resources,"Enacted, May 9, 2025","Signed, May 9, 2025","ACTPUB, Chapter 52",52,True,4/30/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/6/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0058,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0058&SessionID=16
37,SP0059,Senate,132,"Resolve, to Rename a Bridge in Old Orchard Beach the Captain Christopher S. Cash Memorial Bridge",Transportation,"Finally Passed, Mar 25, 2025","Signed, Mar 25, 2025","RESLV, Chapter 11",11,True,3/18/2025 - FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.,"3/20/2025 - FINALLY PASSED , in concurrence.",2,5,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0059,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0059&SessionID=16
38,SP0061,Senate,132,An Act Requiring Photographic Identification for Voting,Veterans and Legal Affairs,"Accepted Majority (ONTP) Report, Jun 5, 2025",,,,False,"6/5/2025 - Reports READ . On motion of Representative SUPICA of Bangor, the Majority Ought Not to Pass Report was ACCEPTED . ROLL CALL NO. 337 (Yeas 72 - Nays 69 - Absent 8 - Excused 2) In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )",6/4/2025 - Reports READ On motion by Senator HICKMAN of Kennebec The Majority Ought Not To Pass Report ACCEPTED. PREVAILED Roll Call Ordered Roll Call Number 355 Yeas 20 - Nays 13 - Excused 2 - Absent 0 Sent down for concurrence.,5,4,2,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0061,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0061&SessionID=16
39,HP0003,House,132,An Act to Require Landowners to Report Their Participation in a Forest Carbon Program or Project,"Agriculture, Conservation and Forestry","Enacted, May 23, 2025","Signed, May 23, 2025","ACTPUB, Chapter 96",96,True,5/20/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/21/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0003,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0003&SessionID=16
40,HP0004,House,132,An Act to Amend the Laws Governing the Commercial Large Game Shooting Area License Transfer Process,"Agriculture, Conservation and Forestry","Enacted, Apr 18, 2025","Signed, Apr 18, 2025","ACTPUB, Chapter 29",29,True,4/10/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"4/15/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0004,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0004&SessionID=16
41,HP0005,House,132,"Resolve, Authorizing the State Tax Assessor to Convey the Interest of the State in Certain Real Estate in the Unorganized Territory",Taxation,"Finally Passed, Jun 20, 2025","Signed, Jun 20, 2025","RESLV, Chapter 94",94,True,6/16/2025 - FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/16/2025 - FINALLY PASSED , in concurrence.",1,6,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0005,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0005&SessionID=16
42,HP0006,House,132,An Act Regarding the Bind-over and Detention of Juveniles,Criminal Justice and Public Safety,"Enacted, Jun 18, 2025","Signed, Jun 18, 2025","ACTPUB, Chapter 361",361,True,6/16/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/16/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0006,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0006&SessionID=16
43,HP0007,House,132,An Act to Further Protect Victims from Contact Prohibited by Probation Conditions,Judiciary,"Leave to Withdraw, Feb 25, 2025",,,,False,"1/6/2025 - Received by the Clerk of the House on January 6, 2025. The Bill was REFERRED to the Committee on JUDICIARY pursuant to Joint Rule 308.2 and ordered printed pursuant to Joint Rule 401.",2/25/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,2,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0007,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0007&SessionID=16
44,HP0008,House,132,An Act to Amend the Laws Pertaining to Elver Fishing,Marine Resources,"Enacted, Jun 10, 2025","Signed, Jun 10, 2025","ACTPUB, Chapter 225",225,True,6/3/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/3/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0008,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0008&SessionID=16
45,HP0009,House,132,An Act Allowing the Department of Corrections to Offset Some of the Costs of Technology Provided to Residents of Correctional Facilities,Criminal Justice and Public Safety,"Enacted, Jun 18, 2025","Signed, Jun 18, 2025","ACTPUB, Chapter 352",352,True,6/12/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/13/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0009,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0009&SessionID=16
46,HP0010,House,132,An Act to Establish a Grant Program to Increase Postsecondary Educational Opportunities for Students with Intellectual or Developmental Disabilities or Autism Spectrum Disorder,Education and Cultural Affairs,"Emergency Enacted, Jan 11, 2026","Emergency Unsigned, Jan 11, 2026","ACTPUB, Chapter 519",519,True,"6/25/2025 - This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.",7/8/2025 - HELD BY THE GOVERNOR.,7,11,0,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0010,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0010&SessionID=16
